league,season,club,name,nation,pos,age,born,minute_90s,goals_against,pk_allowed,fk_goals_against,ck_goals_against,og_against,psxg,psxg_per_shot,psxg_net,psxg_net_per90,launched_passes_completed,launched_passes_att,launched_passes_completed_pct,passes_att_gk,throws_attempted,launch_pass_pct,avg_pass_len,goal_kicks_att, goal_kicks_launch_pct,goal_kicks_avg_len,crosses_faced,crosses_stopped,crosses_stopped_pct,def_act_outside_pen_area,def_act_outside_pen_area_per90,avg_distance_def_actions
ESP-La Liga,1819,Eibar,Asier Riesgo,ESP,GK,34,1983,14.0,20,0,0,0,1,16.6,0.36,-2.4,-0.17,126,278,45.3,308,41,65.6,44.6,80,95.0,62.1,132,5,3.8,27,1.93,18.1
ESP-La Liga,1819,Eibar,Marko Dmitrović,SRB,GK,26,1992,24.0,30,3,2,3,0,27.5,0.28,-2.5,-0.1,199,577,34.5,604,67,71.4,49.9,155,94.2,68.7,271,15,5.5,57,2.38,18.6
ESP-La Liga,1819,Espanyol,Diego López,ESP,GK,36,1981,38.0,50,6,5,7,2,51.8,0.27,3.8,0.1,226,562,40.2,868,133,39.9,35.4,333,64.9,47.6,674,24,3.6,19,0.5,12.3
ESP-La Liga,1819,Getafe,David Soria,ESP,GK,25,1993,37.0,34,4,1,2,2,39.5,0.26,7.5,0.2,351,941,37.3,808,49,83.7,51.7,279,95.0,59.2,468,20,4.3,38,1.03,13.8
ESP-La Liga,1819,Getafe,Leandro Chichizola,ARG,GK,28,1990,1.0,1,0,0,0,0,0.5,0.54,-0.5,-0.46,8,22,36.4,24,3,79.2,50.3,3,100.0,71.3,7,0,0.0,0,0.0,15.5
ESP-La Liga,1819,Girona,Gorka Iraizoz,ESP,GK,37,1981,6.2,10,2,0,1,1,11.1,0.26,2.1,0.33,40,106,37.7,167,44,41.9,38.2,64,56.3,43.8,113,4,3.5,3,0.48,9.6
ESP-La Liga,1819,Girona,Yassine Bounou,MAR,GK,27,1991,31.8,43,6,2,5,1,49.7,0.27,7.7,0.24,182,471,38.6,718,133,40.7,37.1,264,67.8,49.5,439,15,3.4,19,0.6,13.1
ESP-La Liga,1819,Huesca,Aleksandar Jovanović,SRB,GK,25,1992,12.0,19,2,1,1,1,17.1,0.33,-0.9,-0.08,74,237,31.2,252,23,64.3,44.6,80,93.8,60.8,140,2,1.4,4,0.33,11.3
ESP-La Liga,1819,Huesca,Axel Werner,ARG,GK,22,1996,6.0,16,1,0,0,1,10.9,0.31,-4.1,-0.69,39,131,29.8,112,15,65.2,43.8,65,89.2,59.1,76,0,0.0,1,0.17,10.5
ESP-La Liga,1819,Huesca,Roberto Santamaría,ESP,GK,33,1985,20.0,30,6,1,0,1,33.5,0.3,4.5,0.23,219,483,45.3,418,37,78.2,51.2,165,94.5,63.4,309,5,1.6,7,0.35,11.6
ESP-La Liga,1819,Leganés,Andriy Lunin,UKR,GK,19,1999,4.1,5,1,0,1,0,6.3,0.23,1.3,0.31,32,70,45.7,91,19,49.5,39.8,33,75.8,56.5,43,1,2.3,2,0.49,15.7
ESP-La Liga,1819,Leganés,Iván Cuéllar,ESP,GK,34,1984,33.9,38,2,2,2,1,36.9,0.31,-0.1,0.0,312,764,40.8,803,93,64.5,46.4,274,89.8,60.7,542,27,5.0,28,0.82,13.4
ESP-La Liga,1819,Levante,Aitor Fernández,ESP,GK,27,1991,16.0,24,4,0,3,1,25.8,0.27,2.8,0.17,89,252,35.3,295,83,47.8,39.4,162,68.5,49.1,224,5,2.2,17,1.06,14.6
ESP-La Liga,1819,Levante,Koke Vegas,ESP,GK,22,1995,1.0,2,0,0,0,0,2.5,0.31,0.5,0.48,2,7,28.6,16,4,43.8,34.8,8,0.0,28.0,8,0,0.0,1,1.0,16.5
ESP-La Liga,1819,Levante,Oier Olazábal,ESP,GK,28,1989,21.0,40,4,1,3,1,40.7,0.27,1.7,0.08,116,318,36.5,351,97,48.7,40.5,224,65.6,47.5,363,14,3.9,14,0.67,11.8
ESP-La Liga,1819,Rayo Vallecano,Alberto García,ESP,GK,33,1985,17.0,35,1,0,5,1,32.9,0.34,-1.1,-0.06,108,259,41.7,415,82,41.9,37.2,138,61.6,46.3,255,5,2.0,18,1.06,15.5
